,power_price,gas_price,bhkw_bin,storage_bin,bhkw_gas,bhkw_power,bhkw_heat,plant_supply_power,storage_power,storage_energy
281,232.19,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
282,257.41,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
283,259.59,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
284,257.0,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
285,186.41,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
286,177.23,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
287,167.69,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
288,163.58,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
289,142.54,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
290,135.62,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
291,132.8,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
292,131.15,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
293,131.15,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
294,131.15,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
295,132.83,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
296,141.63,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
297,167.69,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
298,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
299,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
300,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
301,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
302,159.5,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
303,154.94,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
304,167.71,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
305,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
306,180.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
307,177.23,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
308,167.69,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
309,140.77,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
310,133.78,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
311,124.27,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
312,111.5,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
313,74.23,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
314,74.23,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
315,74.19,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,74.09,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
317,74.23,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
318,49.77,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0
