t,gas_price,power_price,chp.bin,chp.gas,chp.power,chp.heat,electrical_grid.overall_power,electrical_grid.supply_power,electrical_grid.feedin_power,battery_storage.power_balance,battery_storage.charging_power,battery_storage.discharging_power,battery_storage.energy_content,battery_storage.discharge_bin,battery_storage.charge_bin,battery_storage.switch_bin,pv.power,electrolyzer.bin,electrolyzer.hydrogen,electrolyzer.power,electrolyzer.water,electrolyzer.heat,hydrogen_grid.overall_hydrogen,hydrogen_grid.supply_hydrogen,hydrogen_grid.feedin_hydrogen,hydrogen_storage.hydrogen_balance,hydrogen_storage.charging_hydrogen,hydrogen_storage.discharging_hydrogen,hydrogen_storage.hydrogen_content,hydrogen_storage.charge_bin,hydrogen_storage.discharge_bin,arc1_expanded.power,arc2_expanded.power,arc3_expanded.power,arc4_expanded.power,arc5_expanded.power,arc6_expanded.hydrogen,arc8_expanded.hydrogen
48,57.428,138.1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2391.5823520943377,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
49,57.428,135.79,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2092.784873223718,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
50,57.428,123.66,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2392.784873223718,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
51,57.428,116.9,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2093.9873943530984,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
52,57.428,116.87,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2393.9873943530984,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
53,57.428,116.87,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2095.1899154824787,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
54,57.428,116.87,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2395.1899154824787,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
55,57.428,121.11,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2096.392436611859,0.0,1.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,298.79747887061944
56,57.428,147.23,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2396.392436611859,1.0,0.0,0.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
57,57.428,185.71,1.0,258.2598333333333,99.96472,133.28629333333333,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03528,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2097.5949577412393,0.0,1.0,99.96472,0.03528,0.0,0.0,100.0,51.20252112938056,298.79747887061944
58,57.428,155.42,1.0,258.3333333333333,100.0,133.33333333333331,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2397.5949577412393,1.0,0.0,100.0,0.0,0.0,0.0,100.0,51.20252112938056,0.0
59,57.428,143.34,0.0,0.0,0.0,0.0,99.99706,100.0,0.00294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00294,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,-350.0,0.0,350.0,298.79747887061944,0.0,298.79747887061944,2098.7974788706197,0.0,1.0,0.0,0.00294,0.0,0.0,100.0,51.20252112938056,298.79747887061944
60,57.428,143.32,0.0,0.0,0.0,0.0,99.87162,100.0,0.12838,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12838,1.0,51.20252112938056,100.0,15366.903100054189,36.69692075572414,248.79747887061944,300.0,51.20252112938056,-300.0,300.0,0.0,2398.7974788706197,1.0,0.0,0.0,0.12838,0.0,0.0,100.0,51.20252112938056,0.0
