t,value,temp_fwd,temp_ret
4155,0.29552927401150775,75.0,60.0
4156,0.25719378943512733,75.0,60.0
4157,0.28445526064970683,75.0,60.0
4158,0.1162222230658391,75.0,60.0
4159,0.11389777860452231,75.0,60.0
4160,0.11389777860452231,75.0,60.0
4161,0.1129680008199956,75.0,60.0
4162,0.19390618069880114,75.0,60.0
4163,0.23720476619358694,75.0,60.0
4164,0.27480212224346046,75.0,60.0
4165,0.3133637889746683,75.0,60.0
4166,0.322360009151162,75.0,60.0
4167,0.32266864724183913,75.0,60.0
4168,0.3428477434477216,75.0,60.0
4169,0.33632648235427803,75.0,60.0
4170,0.4200729523663666,75.0,60.0
4171,0.4754151400651844,75.0,60.0
4172,0.4905403132430116,75.0,60.0
4173,0.48896001057248734,75.0,60.0
4174,0.37712786587583513,75.0,60.0
4175,0.37863190608173575,75.0,60.0
4176,0.3379937585181094,75.0,60.0
4177,0.35808851466107056,75.0,60.0
4178,0.3172586351509629,75.0,60.0
4179,0.2691067328164055,75.0,60.0
4180,0.26699118332436766,75.0,60.0
4181,0.1599949619297909,75.0,60.0
4182,0.11691955640423413,75.0,60.0
4183,0.11389777860452231,75.0,60.0
4184,0.10994622302028378,75.0,60.0
4185,0.10785422300509868,75.0,60.0
4186,0.1043675563131235,75.0,60.0
4187,0.16392855119822497,75.0,60.0
4188,0.23470697539890745,75.0,60.0
4189,0.3462767109709694,75.0,60.0
4190,0.32601512654004877,75.0,60.0
4191,0.340422600409301,75.0,60.0
4192,0.33194153810151106,75.0,60.0
4193,0.32488393559508716,75.0,60.0
4194,0.43753878386358275,75.0,60.0
4195,0.492083924851873,75.0,60.0
4196,0.5222998357116765,75.0,60.0
4197,0.47625312984102075,75.0,60.0
4198,0.3776220773474406,75.0,60.0
4199,0.3946274323174287,75.0,60.0
4200,0.3449430601308797,75.0,60.0
4201,0.3555286102255668,75.0,60.0
4202,0.30207399378749605,75.0,60.0
4203,0.25600512408053155,75.0,60.0
4204,0.25363850580733105,75.0,60.0
4205,0.14283768374370034,75.0,60.0
4206,0.11784933418876085,75.0,60.0
4207,0.11343288971225896,75.0,60.0
4208,0.10901644523575707,75.0,60.0
4209,0.10460000075925519,75.0,60.0
4210,0.10529733409765021,75.0,60.0
4211,0.13947455664401986,75.0,60.0
4212,0.28497169859260485,75.0,60.0
4213,0.38752975585876054,75.0,60.0
4214,0.3445464582631967,75.0,60.0
4215,0.3434635989359735,75.0,60.0
4216,0.3596580687771048,75.0,60.0
4217,0.3536966363957704,75.0,60.0
4218,0.5003275990731275,75.0,60.0
4219,0.5478543654445164,75.0,60.0
4220,0.6065571900249295,75.0,60.0
4221,0.5330854315543146,75.0,60.0
4222,0.36932854160940537,75.0,60.0
4223,0.38734485169878985,75.0,60.0
4224,0.34910810635990547,75.0,60.0
4225,0.36409476100639293,75.0,60.0
4226,0.32375755004987183,75.0,60.0
4227,0.2946594349540993,75.0,60.0
4228,0.2552987989358233,75.0,60.0
4229,0.2619818671781778,75.0,60.0
4230,0.11389777860452231,75.0,60.0
4231,0.11273555637386393,75.0,60.0
4232,0.11250311192773224,75.0,60.0
4233,0.11250311192773224,75.0,60.0
4234,0.31938031849396314,75.0,60.0
4235,0.489902699583008,75.0,60.0
4236,0.42636326566570554,75.0,60.0
4237,0.44705053890415625,75.0,60.0
4238,0.4664507335315228,75.0,60.0
4239,0.47203690071458604,75.0,60.0
4240,0.48643598183409065,75.0,60.0
4241,0.5103601214097725,75.0,60.0
4242,0.5902221223400048,75.0,60.0
4243,0.6135017201839075,75.0,60.0
4244,0.6360192009339485,75.0,60.0
4245,0.7289356699347542,75.0,60.0
4246,0.6875849125055944,75.0,60.0
4247,0.6840936748607719,75.0,60.0
4248,0.5227618439795301,75.0,60.0
4249,0.44422871343137066,75.0,60.0
4250,0.4440802243903014,75.0,60.0
4251,0.43347466624151004,75.0,60.0
4252,0.4088318049734374,75.0,60.0
4253,0.4276423396019914,75.0,60.0
4254,0.38112081293360134,75.0,60.0
4255,0.3631756624307739,75.0,60.0
4256,0.22185200767430924,75.0,60.0
4257,0.1773848330282064,75.0,60.0
4258,0.31938031849396314,75.0,60.0
4259,0.35856433283378586,75.0,60.0
4260,0.40461096529307866,75.0,60.0
4261,0.4009299116901296,75.0,60.0
4262,0.38675110977439187,75.0,60.0
4263,0.37163040414317866,75.0,60.0
4264,0.3624399119049727,75.0,60.0
4265,0.3567059683525826,75.0,60.0
4266,0.4381120108384419,75.0,60.0
4267,0.5101413280009134,75.0,60.0
4268,0.5350969659634971,75.0,60.0
4269,0.5246138885475757,75.0,60.0
4270,0.45061264548138547,75.0,60.0
4271,0.5045498357561399,75.0,60.0
4272,0.3838258459335642,75.0,60.0
4273,0.3759908637623245,75.0,60.0
4274,0.3515100066898428,75.0,60.0
